datetime,DXY open,DXY high,DXY low,DXY close
2023-12-21 22:00:00+00:00,101.748,101.803,101.747,101.785
2023-12-22 13:00:00+00:00,101.651,101.797,101.539,101.541
2023-12-22 14:00:00+00:00,101.541,101.56,101.429,101.461
2023-12-22 15:00:00+00:00,101.461,101.724,101.432,101.703
2023-12-22 16:00:00+00:00,101.703,101.762,101.614,101.742
2023-12-22 17:00:00+00:00,101.743,101.807,101.687,101.698
2023-12-22 18:00:00+00:00,101.697,101.736,101.675,101.715
2023-12-22 19:00:00+00:00,101.715,101.812,101.697,101.698
2023-12-22 20:00:00+00:00,101.697,101.752,101.692,101.707
2023-12-22 21:00:00+00:00,101.707,101.734,101.704,101.709
2023-12-26 13:00:00+00:00,101.727,101.73,101.608,101.647
2023-12-26 14:00:00+00:00,101.646,101.675,101.579,101.598
2023-12-26 15:00:00+00:00,101.598,101.639,101.548,101.628
2023-12-26 16:00:00+00:00,101.629,101.635,101.535,101.561
2023-12-26 17:00:00+00:00,101.562,101.596,101.534,101.561
2023-12-26 18:00:00+00:00,101.561,101.567,101.52,101.549
2023-12-26 19:00:00+00:00,101.549,101.549,101.462,101.466
2023-12-26 20:00:00+00:00,101.466,101.482,101.452,101.468
2023-12-26 21:00:00+00:00,101.468,101.479,101.458,101.464
2023-12-26 22:00:00+00:00,101.463,101.48,101.463,101.474
2023-12-27 13:00:00+00:00,101.325,101.361,101.279,101.302
2023-12-27 14:00:00+00:00,101.301,101.31,101.08,101.089
2023-12-27 15:00:00+00:00,101.086,101.108,100.96,100.983
2023-12-27 16:00:00+00:00,100.983,101.011,100.832,100.921
2023-12-27 17:00:00+00:00,100.92,100.99,100.92,100.983
2023-12-27 18:00:00+00:00,100.983,101.012,100.946,100.962
2023-12-27 19:00:00+00:00,100.962,101.033,100.878,100.986
2023-12-27 20:00:00+00:00,100.986,100.988,100.929,100.936
2023-12-27 21:00:00+00:00,100.936,100.967,100.924,100.947
2023-12-27 22:00:00+00:00,100.946,100.957,100.915,100.917
2023-12-28 13:00:00+00:00,100.835,101.107,100.768,101.104
2023-12-28 14:00:00+00:00,101.104,101.104,100.829,100.838
2023-12-28 15:00:00+00:00,100.838,100.858,100.737,100.83
2023-12-28 16:00:00+00:00,100.831,101.119,100.831,101.103
2023-12-28 17:00:00+00:00,101.103,101.173,101.1,101.121
2023-12-28 18:00:00+00:00,101.121,101.297,101.12,101.233
2023-12-28 19:00:00+00:00,101.233,101.293,101.222,101.229
2023-12-28 20:00:00+00:00,101.23,101.241,101.173,101.211
2023-12-28 21:00:00+00:00,101.211,101.256,101.21,101.24
2023-12-28 22:00:00+00:00,101.24,101.242,101.212,101.228
2023-12-29 13:00:00+00:00,101.32,101.408,101.282,101.39
2023-12-29 14:00:00+00:00,101.39,101.397,101.201,101.206
2023-12-29 15:00:00+00:00,101.206,101.293,101.066,101.252
2023-12-29 16:00:00+00:00,101.252,101.283,101.163,101.186
2023-12-29 17:00:00+00:00,101.187,101.225,101.104,101.125
2023-12-29 18:00:00+00:00,101.123,101.264,101.123,101.243
2023-12-29 19:00:00+00:00,101.242,101.362,101.233,101.333
2023-12-29 20:00:00+00:00,101.333,101.353,101.256,101.33
2023-12-29 21:00:00+00:00,101.331,101.389,101.331,101.379
2024-01-02 13:00:00+00:00,102.104,102.167,102.02,102.146
2024-01-02 14:00:00+00:00,102.147,102.194,102.027,102.028
2024-01-02 15:00:00+00:00,102.028,102.203,101.98,102.181
2024-01-02 16:00:00+00:00,102.182,102.21,102.053,102.107
2024-01-02 17:00:00+00:00,102.107,102.188,102.099,102.151
2024-01-02 18:00:00+00:00,102.15,102.198,102.109,102.192
2024-01-02 19:00:00+00:00,102.192,102.218,102.162,102.2
2024-01-02 20:00:00+00:00,102.199,102.232,102.157,102.229
2024-01-02 21:00:00+00:00,102.229,102.252,102.221,102.236
2024-01-02 22:00:00+00:00,102.235,102.24,102.204,102.239
2024-01-03 13:00:00+00:00,102.496,102.558,102.393,102.48
2024-01-03 14:00:00+00:00,102.48,102.602,102.455,102.514
2024-01-03 15:00:00+00:00,102.514,102.711,102.335,102.646
2024-01-03 16:00:00+00:00,102.647,102.655,102.52,102.612
2024-01-03 17:00:00+00:00,102.613,102.649,102.585,102.616
2024-01-03 18:00:00+00:00,102.617,102.642,102.553,102.613
2024-01-03 19:00:00+00:00,102.613,102.726,102.418,102.494
2024-01-03 20:00:00+00:00,102.494,102.518,102.444,102.47
2024-01-03 21:00:00+00:00,102.47,102.486,102.45,102.463
2024-01-03 22:00:00+00:00,102.463,102.485,102.447,102.452
2024-01-04 13:00:00+00:00,102.324,102.514,102.312,102.433
2024-01-04 14:00:00+00:00,102.434,102.527,102.41,102.466
2024-01-04 15:00:00+00:00,102.466,102.467,102.27,102.361
2024-01-04 16:00:00+00:00,102.362,102.365,102.285,102.359
2024-01-04 17:00:00+00:00,102.359,102.458,102.329,102.407
